ID_sequencing,Spatial,Elevation,MAT,TSEA,MAP,PSEA,Plant_cover,Forest,Grassland,Clay_silt,pH,Soil_C,All_potential_pathogens,Alternaria,Fusarium,Venturia,Phoma,Phaeosphaeriaceae,Cladosporium,Coniochaetaceae,Acremonium,Knufia,Chalara,Mycosphaerellaceae,Didymosphaeriaceae,Teratosphaeriaceae,Coniochaeta,Devriesia,Didymellaceae,Pleosporaceae,Clonostachys,Didymosphaeria,Acrophialophora,Xylariaceae,Bipolaris
119.000,43.717,90.000,16.400,5262.000,388.000,16.000,1878.810,1.000,0.000,39.006,6.470,4.423,10.502,0.700,0.441,2.212,0.501,0.013,0.091,1.179,0.073,0.000,0.000,0.052,0.043,0.186,0.173,0.536,2.087,0.216,0.009,0.147,0.065,0.000,0.009
120.000,43.079,127.000,16.800,5596.000,424.000,18.000,2486.880,1.000,0.000,89.900,6.140,2.320,12.139,1.658,0.615,0.584,0.702,0.962,0.373,0.435,0.279,0.019,0.093,0.068,0.056,0.186,0.068,0.273,0.112,0.149,0.242,0.186,0.273,0.012,0.037
121.000,43.759,84.000,16.300,5240.000,405.000,17.000,2121.140,1.000,0.000,76.200,7.850,7.348,12.965,1.796,1.080,1.636,0.266,0.385,1.665,0.323,0.016,0.094,0.393,0.233,0.106,0.119,0.070,0.520,1.739,0.082,0.029,0.515,0.004,0.000,0.000
122.000,43.729,81.000,16.400,5252.000,400.000,17.000,2143.990,1.000,0.000,87.400,7.110,5.535,23.570,1.567,0.068,1.948,2.832,0.496,7.160,0.047,0.022,0.000,0.086,0.050,0.000,0.061,4.446,0.022,0.129,0.072,0.011,0.183,0.040,0.047,0.004
123.000,45.565,28.000,9.800,4472.000,668.000,12.000,5648.250,0.000,1.000,70.000,5.680,6.180,5.706,0.580,0.646,0.000,0.000,0.000,2.061,0.179,0.692,0.000,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.000,0.000,0.000,0.000
124.000,45.678,27.000,9.700,4537.000,638.000,12.000,4976.380,0.000,1.000,70.000,6.340,7.437,6.519,0.352,0.911,0.000,0.000,0.000,1.615,0.097,0.619,0.000,0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.388,0.000,0.000,0.000,0.000
125.000,45.743,54.000,9.500,4531.000,652.000,11.000,5551.480,0.000,1.000,70.000,6.500,7.771,14.116,0.349,1.549,0.000,0.140,0.000,3.191,2.120,1.468,0.000,0.000,2.551,0.000,0.000,0.000,0.000,0.000,0.000,0.559,0.000,0.000,0.000,0.000
126.000,45.754,56.000,9.500,4551.000,646.000,12.000,5854.370,0.000,1.000,70.000,6.860,7.882,8.583,0.431,0.539,0.000,0.000,0.660,0.701,0.243,0.243,0.000,0.027,0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.404,0.000,0.000,0.000,0.000
127.000,45.781,79.000,9.400,4539.000,663.000,11.000,5256.020,0.000,1.000,70.000,6.030,6.603,12.063,0.522,0.158,0.000,0.000,0.144,4.763,0.275,0.041,0.000,0.729,0.144,0.000,0.000,0.007,0.000,0.007,0.041,0.124,0.000,0.000,0.000,0.000
138.000,44.673,5.000,9.700,4572.000,833.000,18.000,5873.630,0.000,1.000,70.000,5.550,4.044,9.626,0.317,0.801,0.000,0.000,0.200,0.834,0.017,0.000,0.000,0.017,0.033,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.017,0.000,0.000
145.000,47.595,316.000,7.600,4567.000,1318.000,23.000,6150.390,0.000,1.000,85.000,6.710,8.111,8.490,0.703,1.860,0.158,0.000,0.000,0.168,2.870,0.435,0.000,0.000,0.129,0.000,0.000,0.000,0.000,0.020,0.000,0.069,0.000,0.000,0.020,0.000
149.000,44.457,172.000,9.700,4354.000,1091.000,25.000,5775.460,0.000,1.000,80.000,4.740,4.679,22.597,0.075,0.279,0.082,0.000,0.000,0.007,0.225,0.034,0.000,0.095,0.007,0.000,0.000,0.000,0.014,0.000,0.034,0.027,0.000,0.068,0.000,0.000
151.000,44.502,125.000,10.200,4222.000,1018.000,25.000,6444.090,0.000,1.000,85.000,5.180,4.356,5.227,0.339,0.741,0.000,0.000,0.000,0.277,0.021,0.007,0.000,0.007,0.021,0.035,0.118,0.000,0.000,0.000,0.166,0.000,0.000,0.000,0.000,0.000
160.000,45.995,46.000,9.400,4842.000,602.000,11.000,4421.340,0.000,1.000,30.000,4.720,9.090,3.667,0.615,0.157,0.000,0.000,0.285,0.121,0.222,0.958,0.000,0.043,0.000,0.141,0.000,0.036,0.007,0.023,0.088,0.065,0.000,0.000,0.000,0.000
165.000,45.350,224.000,8.800,4614.000,756.000,13.000,4601.870,0.000,1.000,70.000,7.620,2.943,14.170,2.429,0.164,0.000,0.000,0.000,0.148,1.390,0.180,0.000,0.000,0.250,0.008,0.000,0.000,0.000,0.000,0.000,0.586,0.000,0.000,0.000,0.000
172.000,49.657,1216.000,7.300,5174.000,217.000,51.000,191.325,0.000,1.000,9.504,6.759,0.697,14.432,4.705,3.064,0.049,0.009,1.011,0.143,2.069,0.019,0.000,0.202,0.000,0.000,0.030,1.675,0.139,0.000,0.173,0.000,0.574,0.012,0.070,0.000
174.000,49.131,1195.000,7.400,5009.000,284.000,65.000,245.351,0.000,0.000,28.695,6.976,1.458,32.449,13.496,4.141,0.103,0.002,5.127,0.987,2.081,0.028,0.387,0.289,0.000,0.002,1.438,1.597,0.028,0.000,0.026,0.000,0.582,0.000,0.044,0.000
175.000,48.931,1074.000,7.800,4786.000,416.000,72.000,335.597,0.000,0.000,26.361,6.832,0.914,20.277,6.462,7.057,0.040,0.011,1.973,0.558,1.330,0.146,0.000,0.058,0.000,0.005,0.200,1.224,0.139,0.000,0.039,0.037,0.026,0.118,0.021,0.000
176.000,43.089,85.000,16.900,5234.000,318.000,13.000,1225.150,1.000,0.000,22.826,7.487,2.061,10.977,3.452,2.147,0.000,0.057,1.396,0.468,0.000,0.538,0.004,0.000,0.000,0.653,0.029,0.033,0.000,0.209,0.000,0.312,0.435,0.004,0.000,0.000
177.000,43.117,72.000,17.000,5228.000,312.000,14.000,1463.630,1.000,0.000,21.496,6.780,1.124,18.706,1.064,4.635,0.098,0.049,1.644,0.353,0.027,2.184,0.003,0.016,0.583,0.157,0.005,0.000,0.076,0.000,0.000,0.122,0.149,0.000,0.049,0.000
178.000,42.985,84.000,17.100,5254.000,308.000,13.000,1169.120,1.000,0.000,26.130,7.398,1.365,20.912,3.357,0.278,0.093,2.302,3.551,0.247,0.000,0.033,0.088,0.000,0.000,6.056,0.068,0.046,0.000,0.000,0.086,0.071,0.518,0.000,0.011,0.382
179.000,42.953,110.000,17.000,5260.000,312.000,13.000,1012.600,1.000,0.000,13.704,7.082,1.021,9.820,1.477,2.333,0.000,0.575,0.505,0.104,0.023,0.005,0.615,0.002,0.169,0.457,0.000,0.032,0.083,0.017,0.005,0.356,0.141,0.000,0.006,0.060
180.000,42.940,94.000,17.100,5294.000,312.000,12.000,1472.590,1.000,0.000,22.755,7.297,1.385,11.518,1.407,0.526,0.116,0.447,0.513,0.410,0.046,0.949,0.055,0.114,1.317,2.001,0.002,0.042,0.149,0.000,0.011,0.002,0.815,0.026,0.099,0.118
181.000,41.955,280.000,18.100,5837.000,448.000,24.000,1386.930,0.000,0.000,41.887,6.818,1.951,10.329,0.985,0.313,0.461,2.036,0.412,0.106,0.194,0.062,2.264,0.000,0.047,0.162,0.032,0.000,0.039,0.207,0.005,0.183,0.146,0.035,0.000,0.037
182.000,42.100,199.000,18.200,5750.000,508.000,25.000,1926.360,0.000,0.000,72.111,6.257,2.633,6.175,0.293,1.353,0.090,0.303,0.605,0.126,0.036,0.284,0.207,0.022,0.007,0.062,0.000,0.000,0.036,0.000,0.000,1.385,0.246,0.029,0.005,0.000
183.000,41.485,261.000,15.400,2423.000,67.000,110.000,319.925,0.000,0.000,28.888,7.758,0.317,2.119,0.954,0.334,0.000,0.023,0.088,0.320,0.006,0.013,0.083,0.000,0.000,0.036,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
184.000,41.577,188.000,14.800,2264.000,79.000,104.000,425.081,0.000,0.000,24.523,7.288,0.873,26.742,9.812,2.982,0.000,4.378,1.968,2.186,0.000,1.852,0.846,0.000,0.008,1.128,0.002,0.083,0.000,0.000,0.036,0.004,0.000,0.047,0.000,0.000
185.000,41.787,221.000,15.300,2656.000,130.000,127.000,792.878,0.000,0.000,15.083,6.742,0.946,35.557,2.990,13.102,0.000,1.618,7.056,1.347,0.027,2.118,0.001,0.021,0.003,0.118,0.027,0.019,0.000,0.000,0.004,0.012,0.158,0.001,0.013,0.000
186.000,41.927,443.000,14.300,2852.000,177.000,114.000,774.306,0.000,0.000,29.448,6.608,1.410,28.068,7.480,3.290,0.000,2.848,4.831,5.174,0.077,0.142,0.757,0.063,0.000,0.030,0.276,0.046,0.053,0.010,0.195,0.001,0.003,0.007,0.001,0.000
187.000,43.149,637.000,-1.100,16016.000,344.000,113.000,964.646,0.000,1.000,38.157,6.627,2.651,14.457,0.259,8.601,0.000,0.041,0.200,0.155,0.159,0.139,0.068,0.007,0.061,0.658,1.169,0.431,0.013,0.032,0.013,0.547,0.025,0.021,0.000,0.064
188.000,43.326,612.000,-1.300,16274.000,329.000,116.000,1431.354,0.000,1.000,18.105,6.707,1.581,31.573,2.164,24.556,0.000,0.000,0.587,0.281,0.225,0.331,0.279,0.463,0.002,0.023,0.765,0.020,0.011,0.024,0.054,0.028,0.418,0.008,0.000,0.003
189.000,43.323,729.000,-1.800,16184.000,314.000,120.000,1228.438,0.000,1.000,31.941,6.672,2.699,20.842,1.757,9.574,0.000,0.067,0.285,0.136,3.229,0.113,0.218,0.000,0.002,0.187,0.690,0.075,0.055,0.390,0.004,1.233,0.017,0.000,0.000,0.067
190.000,42.887,593.000,0.000,15512.000,273.000,124.000,1061.500,0.000,1.000,33.778,7.098,2.180,15.866,2.296,3.837,0.002,0.099,0.705,0.159,0.763,0.028,2.827,0.004,0.003,0.437,1.432,0.797,0.041,0.038,0.049,0.065,0.054,0.007,0.000,0.456
191.000,42.527,580.000,0.900,14957.000,251.000,127.000,768.514,0.000,1.000,34.219,7.118,2.034,26.808,3.591,9.748,0.000,0.011,2.370,0.028,0.096,0.017,5.288,0.000,0.016,0.196,0.272,0.065,0.017,0.021,1.430,0.060,0.322,0.001,0.000,1.475
